config,sample,true_label,inferred_label,label_ok,observed_defense,clip_norm,noise_std,raw_update_norm,defended_update_norm,clipping_scale,best_update_psnr,best_oracle_psnr,final_psnr,best_update_loss,elapsed_seconds
none,0,airplane,airplane,True,none,0.0,0.0,0.8124366998672485,0.8124366998672485,1.0,35.26068392020731,35.559237546450085,34.447887851541765,0.004403948783874512,64.26250147819519
none,1,frog,frog,True,none,0.0,0.0,0.8690917491912842,0.8690917491912842,1.0,17.95051122725849,18.02469275927347,18.03239417131233,0.014244616031646729,64.19008898735046
none,2,airplane,airplane,True,none,0.0,0.0,1.3313320875167847,1.3313320875167847,1.0,29.526981116251733,29.628882713122135,28.11638598193952,0.005405724048614502,63.74561309814453
none,3,bird,bird,True,none,0.0,0.0,1.48779296875,1.48779296875,1.0,28.031053341733283,28.031053341733283,28.087070782348412,0.005174160003662109,62.927300453186035
none,4,horse,horse,True,none,0.0,0.0,1.4084246158599854,1.4084246158599854,1.0,23.72562588351865,24.309455488421,24.32481270771143,0.008651316165924072,64.3555679321289
none,5,bird,bird,True,none,0.0,0.0,1.01390540599823,1.01390540599823,1.0,26.09745069545845,27.8641836329915,26.201615561313965,0.006110727787017822,63.85975742340088
none,6,automobile,automobile,True,none,0.0,0.0,1.7273091077804565,1.7273091077804565,1.0,18.960028195833665,19.438795242252404,19.441802222924167,0.010484278202056885,63.59194803237915
none,7,bird,bird,True,none,0.0,0.0,1.3182992935180664,1.3182992935180664,1.0,30.752125103749503,30.922934383500937,30.098603765780865,0.005305886268615723,66.5116913318634
none,8,deer,deer,True,none,0.0,0.0,0.9165483117103577,0.9165483117103577,1.0,28.91099703254575,30.300962191351665,29.642649691600734,0.006001770496368408,66.86786222457886
none,9,automobile,automobile,True,none,0.0,0.0,1.8959622383117676,1.8959622383117676,1.0,24.9843440557232,25.040591492100646,25.04667111142851,0.0059468746185302734,65.50953459739685
clip_c05,0,airplane,airplane,True,clipping,0.5,0.0,0.8124366998672485,0.5,0.61543256241512,35.93394062954927,36.391396868867936,35.012267445928494,0.004416823387145996,64.43026924133301
clip_c05,1,frog,frog,True,clipping,0.5,0.0,0.8690917491912842,0.4999999701976776,0.5753132514083693,15.692091495840925,15.727572024216538,15.7355862032645,0.017667651176452637,63.00078201293945
clip_c05,2,airplane,airplane,True,clipping,0.5,0.0,1.3313319683074951,0.5,0.37556373008549315,28.33877586986638,29.126832314580913,28.937111432273742,0.00527423620223999,63.65898776054382
clip_c05,3,bird,bird,True,clipping,0.5,0.0,1.487793207168579,0.5,0.3360682100109964,28.458598661026898,28.64047915294926,28.656561003919894,0.004957020282745361,63.31483864784241
clip_c05,4,horse,horse,True,clipping,0.5,0.0,1.4084246158599854,0.5,0.3550065756940385,28.724490576412425,30.65124360714328,30.681565780689457,0.004639625549316406,63.23983120918274
clip_c05,5,bird,bird,True,clipping,0.5,0.0,1.0139052867889404,0.5000000596046448,0.4931427092002029,27.72722263186369,28.028420189075053,26.792719137385497,0.00620722770690918,63.04776573181152
clip_c05,6,automobile,automobile,True,clipping,0.5,0.0,1.7273091077804565,0.5,0.28946758732847555,18.8776282828738,19.16872773666717,19.137633259128293,0.009884417057037354,63.47642636299133
clip_c05,7,bird,bird,True,clipping,0.5,0.0,1.3182991743087769,0.4999999701976776,0.3792765782939866,29.963698725569397,30.03904060572946,29.914692419175253,0.005663275718688965,62.922441244125366
clip_c05,8,deer,deer,True,clipping,0.5,0.0,0.9165483713150024,0.5,0.5455249451614734,28.362599407403128,30.822693528945187,30.664970604980514,0.005970954895019531,62.877851486206055
clip_c05,9,automobile,automobile,True,clipping,0.5,0.0,1.8959623575210571,0.4999999701976776,0.26371831593401407,23.69895354598091,24.393615835317743,24.40793297834921,0.006595611572265625,63.203134536743164
clip_c10,0,airplane,airplane,True,clipping,1.0,0.0,0.8124367594718933,0.8124367594718933,1.0,36.44646295443906,36.50129523091045,35.39938901247874,0.003894507884979248,63.369812965393066
clip_c10,1,frog,frog,True,clipping,1.0,0.0,0.869091808795929,0.869091808795929,1.0,16.815808775663776,17.03836356235226,17.04279066005325,0.016326189041137695,63.22098112106323
clip_c10,2,airplane,airplane,True,clipping,1.0,0.0,1.3313320875167847,1.0,0.7511273929140098,28.941508526513022,30.076249242933734,28.142834393676747,0.00490880012512207,63.44995331764221
clip_c10,3,bird,bird,True,clipping,1.0,0.0,1.487793207168579,1.0,0.6721364200219928,27.179655920413822,27.656118650033044,27.663724604082404,0.005447506904602051,63.490373849868774
clip_c10,4,horse,horse,True,clipping,1.0,0.0,1.4084246158599854,1.0,0.710013151388077,27.308744726656357,27.35101940574016,27.349279378649452,0.0063762664794921875,62.83453321456909
clip_c10,5,bird,bird,True,clipping,1.0,0.0,1.0139055252075195,1.0,0.9862851864766593,29.408268549142157,29.560438126767995,26.830477952018484,0.0051236748695373535,62.952717304229736
clip_c10,6,automobile,automobile,True,clipping,1.0,0.0,1.7273091077804565,0.9999998807907104,0.5789351746569511,18.459239984204306,19.24110657159463,19.243509038801545,0.010776698589324951,62.76842379570007
clip_c10,7,bird,bird,True,clipping,1.0,0.0,1.3182992935180664,1.0,0.7585530879946095,30.16406239142317,30.284773314671924,29.189601397683475,0.006024360656738281,63.289998292922974
clip_c10,8,deer,deer,True,clipping,1.0,0.0,0.9165483713150024,0.9165483713150024,1.0,30.09265698638878,30.145366542856074,29.6969981301936,0.005849301815032959,63.28212904930115
clip_c10,9,automobile,automobile,True,clipping,1.0,0.0,1.8959623575210571,0.9999999403953552,0.5274366318680281,18.979723098549165,18.985761298784453,18.989370176767554,0.00953376293182373,63.23974132537842
noise_s0001,0,airplane,airplane,True,noise,0.0,0.001,0.8124366998672485,3.4397099018096924,1.0,18.12416383378493,18.24421244564712,18.19446657261246,0.7680047750473022,63.72352623939514
noise_s0001,1,frog,frog,True,noise,0.0,0.001,0.8690917491912842,3.4527716636657715,1.0,10.685741837487113,10.788862332883657,10.79029748958865,0.7564011812210083,63.545504331588745
noise_s0001,2,airplane,airplane,True,noise,0.0,0.001,1.3313320875167847,3.5980277061462402,1.0,15.964873400477607,16.030851456804896,16.019395347379508,0.6360748410224915,62.34525728225708
noise_s0001,3,bird,bird,True,noise,0.0,0.001,1.4877930879592896,3.658759355545044,1.0,12.86015709834372,13.651182680593985,13.655832880678588,0.6036086678504944,63.276026010513306
noise_s0001,4,horse,horse,True,noise,0.0,0.001,1.4084246158599854,3.626666784286499,1.0,14.406910197091866,14.474722841790872,14.474448584375665,0.6195707321166992,63.35006785392761
noise_s0001,5,bird,bird,True,noise,0.0,0.001,1.0139055252075195,3.4926931858062744,1.0,17.464351609109276,17.497256867587453,17.170181452000843,0.7142152786254883,63.13969850540161
noise_s0001,6,automobile,automobile,True,noise,0.0,0.001,1.727309226989746,3.7617897987365723,1.0,14.598476099172187,14.735383555381123,14.719658606958742,0.5497537851333618,63.45344543457031
noise_s0001,7,bird,bird,True,noise,0.0,0.001,1.3182989358901978,3.5930936336517334,1.0,16.24218728453518,16.336913424153977,16.320638811542942,0.6393072605133057,63.22977113723755
noise_s0001,8,deer,deer,True,noise,0.0,0.001,0.9165483713150024,3.4651572704315186,1.0,14.968890533299827,15.520023689915075,15.499622625232591,0.7421860694885254,61.637431621551514
noise_s0001,9,automobile,automobile,True,noise,0.0,0.001,1.8959622383117676,3.842007875442505,1.0,13.597380282358909,13.666382471477865,13.668769135385135,0.5156586766242981,63.054004192352295
noise_s0002,0,airplane,airplane,True,noise,0.0,0.002,0.8124366998672485,6.733419895172119,1.0,15.365211431401065,15.520100967842154,15.238367828000051,0.8815793991088867,63.195091247558594
noise_s0002,1,frog,frog,True,noise,0.0,0.002,0.8690917491912842,6.739712715148926,1.0,9.129595469923979,9.187179753756203,9.173579912232631,0.8756593465805054,63.05056691169739
noise_s0002,2,airplane,airplane,True,noise,0.0,0.002,1.3313319683074951,6.815786361694336,1.0,12.536608715631436,12.584027201922918,12.583934805940642,0.8088735938072205,61.35461926460266
noise_s0002,3,bird,bird,True,noise,0.0,0.002,1.4877930879592896,6.848013877868652,1.0,12.146256045808864,12.224807286929085,12.227816284287874,0.7883381843566895,62.91197872161865
noise_s0002,4,horse,horse,True,noise,0.0,0.002,1.408424735069275,6.830633163452148,1.0,11.213340424206784,11.248845779109855,11.25088452337475,0.7997626662254333,63.01820111274719
noise_s0002,5,bird,bird,True,noise,0.0,0.002,1.01390540599823,6.76059103012085,1.0,14.20695572004475,14.391343207686822,14.342621833993663,0.8534222841262817,62.983946323394775
noise_s0002,6,automobile,automobile,True,noise,0.0,0.002,1.727308988571167,6.903210163116455,1.0,11.689831614868778,12.120937822721373,12.110717618902658,0.7563740611076355,61.43509578704834
noise_s0002,7,bird,bird,True,noise,0.0,0.002,1.3182992935180664,6.813113689422607,1.0,13.055428231682406,13.143075214529002,12.951998488606142,0.8107009530067444,62.70376706123352
noise_s0002,8,deer,deer,True,noise,0.0,0.002,0.9165483117103577,6.74613618850708,1.0,13.356698769528295,13.392878896933606,13.223579281295057,0.8678816556930542,62.90581154823303
noise_s0002,9,automobile,automobile,True,noise,0.0,0.002,1.8959623575210571,6.947169303894043,1.0,12.183579203303335,12.23208334628909,12.185625424312294,0.7334794998168945,63.391995906829834
noise_s0005,0,airplane,airplane,True,noise,0.0,0.005,0.8124366998672485,16.729482650756836,1.0,12.322676461315975,12.689903954808223,12.090123673787987,0.9516181945800781,61.515400648117065
noise_s0005,1,frog,frog,True,noise,0.0,0.005,0.869091808795929,16.731548309326172,1.0,8.254159146744035,8.642211041278419,8.194043200126226,0.9492377042770386,63.27111220359802
noise_s0005,2,airplane,airplane,True,noise,0.0,0.005,1.3313320875167847,16.76296615600586,1.0,10.386123295411087,10.786524718326913,10.359488900407058,0.9218848943710327,62.95068049430847
noise_s0005,3,bird,bird,True,noise,0.0,0.005,1.4877930879592896,16.77606201171875,1.0,9.443850593684678,9.547478288399581,9.49779751060725,0.9134774208068848,62.64247107505798
noise_s0005,4,horse,horse,True,noise,0.0,0.005,1.408424735069275,16.76862335205078,1.0,9.49910256894378,10.432904065620152,9.521342398271962,0.9180596470832825,61.78753352165222
noise_s0005,5,bird,bird,True,noise,0.0,0.005,1.01390540599823,16.740379333496094,1.0,12.482600100816548,12.557912946085274,12.316697693917824,0.9402737021446228,61.89943504333496
noise_s0005,6,automobile,automobile,True,noise,0.0,0.005,1.7273091077804565,16.798175811767578,1.0,9.82243939732214,9.85561867151115,9.785036737015885,0.8999574780464172,63.61496305465698
noise_s0005,7,bird,bird,True,noise,0.0,0.005,1.3182991743087769,16.761795043945312,1.0,10.79356464679977,11.143861665598376,10.756244670143335,0.9229390025138855,62.85863018035889
noise_s0005,8,deer,deer,True,noise,0.0,0.005,0.9165483713150024,16.734222412109375,1.0,11.310487819857059,11.44413476432999,11.152995983917213,0.9462985396385193,62.929319858551025
noise_s0005,9,automobile,automobile,True,noise,0.0,0.005,1.8959622383117676,16.816190719604492,1.0,9.478997456328637,10.173505478726643,9.466086398809844,0.8910651803016663,63.18242573738098
clip_c10_noise_s0002,0,airplane,airplane,True,clipping_noise,1.0,0.002,0.8124367594718933,6.733419895172119,1.0,15.199106321561004,15.441984135182448,15.200157866749791,0.8817135691642761,63.74575614929199
clip_c10_noise_s0002,1,frog,frog,True,clipping_noise,1.0,0.002,0.869091808795929,6.739712715148926,1.0,9.166522973424735,9.239144614223482,9.2392869215606,0.8757601380348206,64.11446404457092
clip_c10_noise_s0002,2,airplane,airplane,True,clipping_noise,1.0,0.002,1.3313320875167847,6.758681774139404,0.7511273929140098,11.725515894265959,11.833568227742376,11.726716245414849,0.8552387952804565,73.40181756019592
clip_c10_noise_s0002,3,bird,bird,True,clipping_noise,1.0,0.002,1.487793207168579,6.758581638336182,0.6721364200219928,10.817768851809236,10.991872742892614,10.991485681996402,0.856092095375061,65.14926242828369
clip_c10_noise_s0002,4,horse,horse,True,clipping_noise,1.0,0.002,1.4084246158599854,6.7581963539123535,0.710013151388077,10.731800160613208,10.83488892718211,10.809354131361621,0.8562831878662109,62.823315143585205
clip_c10_noise_s0002,5,bird,bird,True,clipping_noise,1.0,0.002,1.01390540599823,6.758513450622559,0.986285302438519,14.306637879216375,14.672367986884538,14.131270880422022,0.8550209999084473,62.54388213157654
clip_c10_noise_s0002,6,automobile,automobile,True,clipping_noise,1.0,0.002,1.727308988571167,6.758037567138672,0.578935214611847,10.52653597281598,10.649946455688399,10.629004621431363,0.8566160202026367,62.93966627120972
clip_c10_noise_s0002,7,bird,bird,True,clipping_noise,1.0,0.002,1.3182992935180664,6.758581161499023,0.7585530879946095,12.43293332653968,12.626540982084764,12.341066131264968,0.8554760217666626,62.16934418678284
clip_c10_noise_s0002,8,deer,deer,True,clipping_noise,1.0,0.002,0.9165483713150024,6.74613618850708,1.0,13.326331927437852,13.327753734852607,13.324061133670677,0.867974042892456,63.5337393283844
clip_c10_noise_s0002,9,automobile,automobile,True,clipping_noise,1.0,0.002,1.8959623575210571,6.757954120635986,0.5274366318680281,9.968540071183726,10.411407098319268,9.972803078535685,0.8571603894233704,63.14121198654175
clip_c05_noise_s0002,0,airplane,airplane,True,clipping_noise,0.5,0.002,0.8124366998672485,6.702691555023193,0.61543256241512,13.399144462230307,13.787011588336158,13.433013914807768,0.9265915155410767,68.05589866638184
clip_c05_noise_s0002,1,frog,frog,True,clipping_noise,0.5,0.002,0.8690916895866394,6.7022199630737305,0.5753132908648989,8.623088669951354,8.653174541270236,8.64610979509608,0.9276238083839417,67.85135126113892
clip_c05_noise_s0002,2,airplane,airplane,True,clipping_noise,0.5,0.002,1.3313319683074951,6.702661514282227,0.37556373008549315,10.424630677385355,10.783130706596575,10.207544206650162,0.9264968633651733,67.88681221008301
clip_c05_noise_s0002,3,bird,bird,True,clipping_noise,0.5,0.002,1.487793207168579,6.702610969543457,0.3360682100109964,9.425318696270844,9.43674932497834,9.38402449618941,0.926874577999115,65.00860476493835
clip_c05_noise_s0002,4,horse,horse,True,clipping_noise,0.5,0.002,1.4084244966506958,6.702416896820068,0.3550066057418556,9.51888350363432,10.432904065620152,9.532118023072316,0.9269815683364868,62.38119411468506
clip_c05_noise_s0002,5,bird,bird,True,clipping_noise,0.5,0.002,1.01390540599823,6.702577114105225,0.4931426512192595,12.647427071315903,12.808348205059696,12.675067710735926,0.9268035888671875,61.706653356552124
clip_c05_noise_s0002,6,automobile,automobile,True,clipping_noise,0.5,0.002,1.7273091077804565,6.702337265014648,0.28946758732847555,9.012360103951114,9.292934147026104,9.012357010868426,0.9275325536727905,61.99272298812866
clip_c05_noise_s0002,7,bird,bird,True,clipping_noise,0.5,0.002,1.3182990550994873,6.702610969543457,0.37927661259067463,10.812822550254644,10.990012970446113,10.722303928773103,0.9267172813415527,61.90894055366516
clip_c05_noise_s0002,8,deer,deer,True,clipping_noise,0.5,0.002,0.9165483713150024,6.702303409576416,0.5455249451614734,11.861688272703816,11.933912785091268,11.890806662014413,0.9273552894592285,62.02170443534851
clip_c05_noise_s0002,9,automobile,automobile,True,clipping_noise,0.5,0.002,1.895962119102478,6.702294826507568,0.26371834909677905,9.029096510111215,10.160538918701064,9.048915507742935,0.9277071952819824,61.687893867492676
