config,sample,seed,true_label,inferred_label,label_ok,observed_defense,clip_norm,noise_std,raw_update_norm,defended_update_norm,clipping_scale,best_update_psnr,best_oracle_psnr,final_psnr,best_update_loss,elapsed_seconds
none,0,0,airplane,airplane,True,none,0.0,0.0,0.5900161862373352,0.5900161862373352,1.0,34.12581698562215,34.66057261501777,32.58258291455196,0.008008718490600586,62.66849112510681
none,0,1,airplane,airplane,True,none,0.0,0.0,0.6203755736351013,0.6203755736351013,1.0,32.91440612992262,34.05770128642974,33.12124212512211,0.007639765739440918,61.974374532699585
none,0,2,airplane,airplane,True,none,0.0,0.0,0.7333249449729919,0.7333249449729919,1.0,33.40693375811371,33.86380996326323,32.16499931488807,0.007929205894470215,62.83156228065491
none,0,3,airplane,airplane,True,none,0.0,0.0,0.681309163570404,0.681309163570404,1.0,34.53382507204332,35.252185029677655,34.76699995183661,0.004603266716003418,62.95409631729126
none,0,4,airplane,airplane,True,none,0.0,0.0,0.6565471887588501,0.6565471887588501,1.0,31.224203802881377,32.654318874480744,32.347882182522284,0.008593440055847168,63.18209981918335
none,1,0,frog,frog,True,none,0.0,0.0,1.6055335998535156,1.6055335998535156,1.0,25.840379965308607,26.090279229543505,25.946331558005838,0.006912171840667725,62.289172410964966
none,1,1,frog,frog,True,none,0.0,0.0,1.326802134513855,1.326802134513855,1.0,25.081935411968132,25.24737368432667,25.259110175945956,0.007039010524749756,62.60216450691223
none,1,2,frog,frog,True,none,0.0,0.0,1.0096315145492554,1.0096315145492554,1.0,20.143298023562775,20.26469162289731,20.271885706908016,0.015697956085205078,62.651891469955444
none,1,3,frog,frog,True,none,0.0,0.0,1.0744167566299438,1.0744167566299438,1.0,24.025138522065916,24.10121154707084,23.565350541058415,0.008852541446685791,62.97479224205017
none,1,4,frog,frog,True,none,0.0,0.0,1.3156986236572266,1.3156986236572266,1.0,18.548598895927984,18.556613595690937,18.563558306498912,0.021639704704284668,62.61703157424927
none,2,0,airplane,airplane,True,none,0.0,0.0,1.0929840803146362,1.0929840803146362,1.0,29.47882519105853,29.517047357182562,28.83484703171508,0.00664675235748291,62.86068511009216
none,2,1,airplane,airplane,True,none,0.0,0.0,0.9747052788734436,0.9747052788734436,1.0,29.30548670294479,30.053161553280695,30.02651815140913,0.007183969020843506,62.8549268245697
none,2,2,airplane,airplane,True,none,0.0,0.0,1.3073557615280151,1.3073557615280151,1.0,29.41718258080057,29.659916739960813,28.964154849635776,0.0063359737396240234,63.15892434120178
none,2,3,airplane,airplane,True,none,0.0,0.0,1.1145613193511963,1.1145613193511963,1.0,32.32708963715708,34.19771469486705,33.022830034079156,0.003909051418304443,63.02593970298767
none,2,4,airplane,airplane,True,none,0.0,0.0,1.0306471586227417,1.0306471586227417,1.0,27.528480212067524,27.712004461730263,26.81595479205297,0.011566400527954102,63.01817607879639
none,3,0,bird,bird,True,none,0.0,0.0,1.6725579500198364,1.6725579500198364,1.0,16.1564181833003,16.954683285957557,16.965018970212316,0.01598745584487915,62.973044872283936
none,3,1,bird,bird,True,none,0.0,0.0,1.382431983947754,1.382431983947754,1.0,14.424628152186326,14.432525163062753,14.406513892957694,0.01984691619873047,63.199519872665405
none,3,2,bird,bird,True,none,0.0,0.0,1.4435371160507202,1.4435371160507202,1.0,17.251261932332113,17.297638324901467,17.303456437912786,0.022247672080993652,63.5896852016449
none,3,3,bird,bird,True,none,0.0,0.0,1.2348558902740479,1.2348558902740479,1.0,13.536067444559542,14.055249756054494,14.055604564880435,0.021021246910095215,62.983548402786255
none,3,4,bird,bird,True,none,0.0,0.0,1.5004359483718872,1.5004359483718872,1.0,24.654501795991624,24.86106941927773,24.822844563271367,0.007898151874542236,62.800466537475586
none,4,0,horse,horse,True,none,0.0,0.0,1.3326616287231445,1.3326616287231445,1.0,29.517932294045902,30.629390890033076,30.65310394284601,0.0038851499557495117,63.150654554367065
none,4,1,horse,horse,True,none,0.0,0.0,1.0790021419525146,1.0790021419525146,1.0,25.179654528848452,25.232786075761602,25.25196349405098,0.0077874064445495605,63.4536452293396
none,4,2,horse,horse,True,none,0.0,0.0,1.3345271348953247,1.3345271348953247,1.0,27.01403293859581,27.50196811430733,27.51933431116474,0.00694119930267334,63.515204429626465
none,4,3,horse,horse,True,none,0.0,0.0,1.2916351556777954,1.2916351556777954,1.0,29.33078448072795,29.5742255575038,29.309936821067538,0.0042493343353271484,62.90291237831116
none,4,4,horse,horse,True,none,0.0,0.0,1.0613605976104736,1.0613605976104736,1.0,18.270986406431916,18.329831160779822,18.333836710196124,0.019361019134521484,63.21338176727295
noise_s0002,0,0,airplane,airplane,True,noise,0.0,0.002,0.5900161862373352,6.709765911102295,1.0,14.239267197100144,14.402628636421767,14.049776531867877,0.9150546789169312,62.90770626068115
noise_s0002,0,1,airplane,airplane,True,noise,0.0,0.002,0.6203756332397461,6.712686538696289,1.0,14.510771428469493,14.65409216460268,14.425043143478566,0.9098886251449585,63.334619998931885
noise_s0002,0,2,airplane,airplane,True,noise,0.0,0.002,0.7333249449729919,6.723641872406006,1.0,14.804048073950753,14.941143406146447,14.669397111549149,0.894879162311554,63.011112689971924
noise_s0002,0,3,airplane,airplane,True,noise,0.0,0.002,0.681309163570404,6.718591690063477,1.0,15.274383679369707,15.363742518466637,15.053010751122697,0.9006428718566895,63.007203340530396
noise_s0002,0,4,airplane,airplane,True,noise,0.0,0.002,0.6565471887588501,6.715968132019043,1.0,14.18494586349152,14.579504732690861,14.329987281009132,0.9057173728942871,62.88225746154785
noise_s0002,1,0,frog,frog,True,noise,0.0,0.002,1.605533480644226,6.873524188995361,1.0,12.826835526512872,13.646149733540053,13.630796125670921,0.772750973701477,62.811795711517334
noise_s0002,1,1,frog,frog,True,noise,0.0,0.002,1.3268016576766968,6.814190864562988,1.0,11.581432053024477,11.625852679434885,11.581849351221283,0.8110283613204956,62.82855176925659
noise_s0002,1,2,frog,frog,True,noise,0.0,0.002,1.0096315145492554,6.759340763092041,1.0,11.333443386631963,11.510629375450513,11.511429891965667,0.8564229011535645,63.6318678855896
noise_s0002,1,3,frog,frog,True,noise,0.0,0.002,1.0744168758392334,6.769543647766113,1.0,11.241052149740106,11.356849950185559,11.328307928761772,0.8452373743057251,63.20752429962158
noise_s0002,1,4,frog,frog,True,noise,0.0,0.002,1.315698266029358,6.812368392944336,1.0,12.18695941164755,12.189592187438718,12.188697903655202,0.8137969374656677,62.74750256538391
noise_s0002,2,0,airplane,airplane,True,noise,0.0,0.002,1.0929840803146362,6.772857189178467,1.0,11.768997277324246,12.020402180944089,11.90739504595378,0.8434844613075256,63.947492361068726
noise_s0002,2,1,airplane,airplane,True,noise,0.0,0.002,0.9747053384780884,6.754806995391846,1.0,11.867383837810419,12.00938731999063,11.856221932303763,0.8598053455352783,64.05777096748352
noise_s0002,2,2,airplane,airplane,True,noise,0.0,0.002,1.3073557615280151,6.810081481933594,1.0,13.177088832974322,13.227510202090311,13.141847666780722,0.8142446279525757,64.2968430519104
noise_s0002,2,3,airplane,airplane,True,noise,0.0,0.002,1.1145613193511963,6.7763671875,1.0,12.69457841340827,12.865527715983745,12.84209169676421,0.839927077293396,72.53074359893799
noise_s0002,2,4,airplane,airplane,True,noise,0.0,0.002,1.0306470394134521,6.762784481048584,1.0,11.463137878048357,11.909969121164593,11.845735967273407,0.8534479737281799,70.29115605354309
noise_s0002,3,0,bird,bird,True,noise,0.0,0.002,1.6725584268569946,6.8902201652526855,1.0,12.710495541445976,12.723630854153047,12.654180050670647,0.7635601758956909,71.52590489387512
noise_s0002,3,1,bird,bird,True,noise,0.0,0.002,1.382431983947754,6.825362682342529,1.0,10.534967550375022,10.563031135336715,10.563629400176147,0.8044987320899963,63.009729623794556
noise_s0002,3,2,bird,bird,True,noise,0.0,0.002,1.4435371160507202,6.838065147399902,1.0,10.907941268967232,10.92112685705093,10.917962612375558,0.7965931296348572,62.65437436103821
noise_s0002,3,3,bird,bird,True,noise,0.0,0.002,1.2348557710647583,6.797708034515381,1.0,10.781451932549409,10.82481856964022,10.784892315367895,0.822698712348938,62.673131465911865
noise_s0002,3,4,bird,bird,True,noise,0.0,0.002,1.500435709953308,6.850358486175537,1.0,12.117204472164481,12.14178472541677,12.114752633083475,0.7876459360122681,62.70460748672485
noise_s0002,4,0,horse,horse,True,noise,0.0,0.002,1.3326616287231445,6.815225601196289,1.0,11.913857731999393,12.014675906719411,11.93340570791225,0.8111902475357056,62.25167465209961
noise_s0002,4,1,horse,horse,True,noise,0.0,0.002,1.079002022743225,6.770470142364502,1.0,11.59583524092068,11.612199548794756,11.427837100807947,0.8462445139884949,63.16605854034424
noise_s0002,4,2,horse,horse,True,noise,0.0,0.002,1.3345270156860352,6.816399574279785,1.0,12.496273832401506,12.684138485835383,12.501705840105172,0.8112181425094604,62.65260434150696
noise_s0002,4,3,horse,horse,True,noise,0.0,0.002,1.291635274887085,6.807516098022461,1.0,12.689494307409428,13.14492886863215,13.136636455031713,0.8152070045471191,62.22662901878357
noise_s0002,4,4,horse,horse,True,noise,0.0,0.002,1.0613605976104736,6.767788887023926,1.0,11.567021702477266,11.727272477258916,11.6627455833126,0.8489417433738708,62.37020993232727
clip_c05_noise_s0002,0,0,airplane,airplane,True,clipping_noise,0.5,0.002,0.59001624584198,6.7024359703063965,0.8474342927382108,13.932252543746706,13.959158088975503,13.80769753936142,0.9277772903442383,62.51630187034607
clip_c05_noise_s0002,0,1,airplane,airplane,True,clipping_noise,0.5,0.002,0.6203755736351013,6.702579498291016,0.805963389353703,14.046243127409854,14.117760562306161,14.044714615994767,0.9272887706756592,62.21323800086975
clip_c05_noise_s0002,0,2,airplane,airplane,True,clipping_noise,0.5,0.002,0.7333249449729919,6.7022552490234375,0.6818259810018231,13.12254978828151,13.662128127998583,13.150082545588804,0.9279483556747437,68.708913564682
clip_c05_noise_s0002,0,3,airplane,airplane,True,clipping_noise,0.5,0.002,0.681309163570404,6.702559471130371,0.7338812197666822,14.186927153033,14.227772971398116,14.219344585290564,0.9266524314880371,69.18220901489258
clip_c05_noise_s0002,0,4,airplane,airplane,True,clipping_noise,0.5,0.002,0.6565471887588501,6.702446460723877,0.7615598826101875,13.304438577692551,13.70173843692122,13.343556479406493,0.9276679754257202,68.24119973182678
clip_c05_noise_s0002,1,0,frog,frog,True,clipping_noise,0.5,0.002,1.605533480644226,6.702263355255127,0.31142296690011206,9.47275750630245,9.642389848158198,9.370279007867428,0.9278792142868042,69.15121555328369
clip_c05_noise_s0002,1,1,frog,frog,True,clipping_noise,0.5,0.002,1.326802134513855,6.702390193939209,0.37684594182750913,9.618208892666564,9.626005570637737,9.49309626827025,0.9273433089256287,68.9539041519165
clip_c05_noise_s0002,1,2,frog,frog,True,clipping_noise,0.5,0.002,1.0096315145492554,6.702272891998291,0.4952301832839747,9.241512302318057,9.327217080832922,9.216657366263236,0.9282292127609253,68.28253293037415
clip_c05_noise_s0002,1,3,frog,frog,True,clipping_noise,0.5,0.002,1.0744167566299438,6.7023820877075195,0.46536876581100006,10.180287799979752,10.22258995601716,10.179957605817817,0.9265173077583313,65.26231360435486
clip_c05_noise_s0002,1,4,frog,frog,True,clipping_noise,0.5,0.002,1.315698504447937,6.702517986297607,0.38002627373162395,9.023451102543515,9.092166156599767,9.089617142364649,0.9277694225311279,61.71243596076965
clip_c05_noise_s0002,2,0,airplane,airplane,True,clipping_noise,0.5,0.002,1.0929840803146362,6.702540397644043,0.45746320463844997,10.478244532625316,10.750098230138825,10.427597498514212,0.9269567728042603,66.70638179779053
clip_c05_noise_s0002,2,1,airplane,airplane,True,clipping_noise,0.5,0.002,0.9747052788734436,6.702577114105225,0.5129755740908503,10.921261667562106,11.015262358171842,10.78213142272947,0.9268739819526672,69.3421950340271
clip_c05_noise_s0002,2,2,airplane,airplane,True,clipping_noise,0.5,0.002,1.3073557615280151,6.702254295349121,0.3824513684134654,10.144711216966929,10.608573482393036,10.044583603081435,0.9277347922325134,66.53249216079712
clip_c05_noise_s0002,2,3,airplane,airplane,True,clipping_noise,0.5,0.002,1.1145613193511963,6.702534198760986,0.4486069912157092,11.104105542301387,11.412776587022718,11.174612829405802,0.9266677498817444,64.72008275985718
clip_c05_noise_s0002,2,4,airplane,airplane,True,clipping_noise,0.5,0.002,1.0306470394134521,6.7024078369140625,0.48513213629766794,10.274003564595,10.777096268828274,10.210586415043768,0.9276939630508423,64.37008953094482
clip_c05_noise_s0002,3,0,bird,bird,True,clipping_noise,0.5,0.002,1.6725584268569946,6.702491760253906,0.29894321894588827,9.692876661887805,9.975129506006922,9.965606221724723,0.927283525466919,62.12413239479065
clip_c05_noise_s0002,3,1,bird,bird,True,clipping_noise,0.5,0.002,1.382431983947754,6.7024335861206055,0.36168144675863834,9.084542467297224,9.216158657584547,9.201617303404067,0.9273386001586914,62.184579610824585
clip_c05_noise_s0002,3,2,bird,bird,True,clipping_noise,0.5,0.002,1.4435372352600098,6.702452659606934,0.3463713909046438,8.970575212842014,9.028190454368033,8.95798323413705,0.9274631142616272,62.62426042556763
clip_c05_noise_s0002,3,3,bird,bird,True,clipping_noise,0.5,0.002,1.2348558902740479,6.70272970199585,0.40490554722837463,9.859816386834764,9.99332907008134,9.862988109137298,0.9259660243988037,63.85064506530762
clip_c05_noise_s0002,3,4,bird,bird,True,clipping_noise,0.5,0.002,1.5004358291625977,6.702468395233154,0.3332365105402207,9.240231591141194,9.545355695056655,9.546778318413594,0.9277385473251343,69.16975855827332
clip_c05_noise_s0002,4,0,horse,horse,True,clipping_noise,0.5,0.002,1.3326616287231445,6.702348232269287,0.37518901214157935,10.115309392969715,10.623399319812439,10.052702563908081,0.9278004169464111,69.37664484977722
clip_c05_noise_s0002,4,1,horse,horse,True,clipping_noise,0.5,0.002,1.0790021419525146,6.702474594116211,0.46339110976625,10.201736995952606,10.551950518389337,10.351181103144429,0.9274479150772095,69.01585102081299
clip_c05_noise_s0002,4,2,horse,horse,True,clipping_noise,0.5,0.002,1.3345271348953247,6.7026567459106445,0.37466454366163443,10.392850885425586,10.603345808262501,10.363138986965495,0.9272661805152893,70.39970827102661
clip_c05_noise_s0002,4,3,horse,horse,True,clipping_noise,0.5,0.002,1.2916351556777954,6.7024245262146,0.38710621788335736,11.135496628501985,11.189524466095069,10.890804260289498,0.9265820980072021,68.86154174804688
clip_c05_noise_s0002,4,4,horse,horse,True,clipping_noise,0.5,0.002,1.061360478401184,6.70252799987793,0.47109347877049335,10.21318858250105,10.44670796421801,10.293078882748766,0.927314817905426,68.93875098228455
